Geschäftsnummer;Bewilligungsdatum;Endverbraucherland;AG (GKV);MTCR (GKV);NSGI (GKV);NSGII (GKV);WA (GKV);ML (GKV);Anhang 5.1;Anhang 5.2;ChKV; Wert 
14059;22.04.2013;Singapur;;;;1C231;;;;;; Fr. 4'200.00 
14066;22.04.2013;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 50.00 
14068;22.04.2013;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 20.00 
14039;23.04.2013;China;;;;;6A005a5b;;;;; Fr. 71'250.00 
14060;23.04.2013;Marokko;2B352b;;;;;;;;; Fr. 83'009.00 
14061;23.04.2013;Indonesien;2B350a3;;;;;;;;; Fr. 31'950.00 
14062;23.04.2013;Indonesien;2B350d4;;;;;;;;; Fr. 4'050.00 
14063;23.04.2013;Indonesien;2B350g2;;;;;;;;; Fr. 300.00 
14064;23.04.2013;Kaiman-Inseln;;;;;5A002a1a;;;;; Fr. 7'998.00 
14065;24.04.2013;Vietnam;;;;;5A001i;;;;; Fr. 964'413.00 
14069;24.04.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 122'402.00 
14070;24.04.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 79'949.00 
14071;24.04.2013;Russische Föderation;;;;2B201a2;;;;;; Fr. 101'998.00 
14072;24.04.2013;Russische Föderation;;;;2B201a1;;;;;; Fr. 96'328.00 
14073;24.04.2013;Bangladesch;2B350d5;;;;;;;;; Fr. 33'289.00 
14074;24.04.2013;China;;;;2B201a1;2B001b2;;;;; Fr. 364'928.00 
14075;24.04.2013;China;;;;2B201a2;2B001b2;;;;; Fr. 592'922.00 
14076;24.04.2013;Russische Föderation;;;;;2B001a;;;;; Fr. 243'380.00 
14077;24.04.2013;Russische Föderation;;;;;2B001a;;;;; Fr. 179'800.00 
14078;24.04.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 440'237.00 
14067;25.04.2013;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 300.00 
14080;25.04.2013;Frankreich;;;0B001b14;;;;;;; Fr. 145'000.00 
14081;25.04.2013;China;;;;;;;5.1;;; Fr. 6'498.00 
14082;25.04.2013;Hong Kong;;;;;5A002a1a;;;;; Fr. 49'490.00 
14083;25.04.2013;Israel;;;;2B001a1;2B001a1;;;;; Fr. 23'772.00 
14084;25.04.2013;Russische Föderation;;;;;6A005a6b2;;;;; Fr. 316'672.00 
14085;25.04.2013;Russische Föderation;;;;2B201a2;;;;;; Fr. 97'756.00 
14086;25.04.2013;Russische Föderation;;;;2B201a;2B001b;;;;; Fr. 156'210.00 
14087;25.04.2013;Russische Föderation;;;;2B201a;;;;;; Fr. 77'429.00 
14079;26.04.2013;Oman;;;;;5A002a1a;;;;; Fr. 89'531.00 
14089;26.04.2013;Indien;;;;2B201b1;;;;;; Fr. 650'000.00 
14090;26.04.2013;Rumänien;;;;;;;5.1;;; Fr. 1.00 
14091;26.04.2013;Slowakei, Slowakische Republik;;;;2B001a;2B001a;;;;; Fr. 96'788.00 
14092;26.04.2013;Deutschland;;;;2B001a;2B001a;;;;; Fr. 491'205.00 
14093;26.04.2013;Deutschland;;;;;;10c2;;;; Fr. 1'870.00 
14094;29.04.2013;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 585'940.00 
14095;29.04.2013;Russische Föderation;;;;2B201a;2B001b2;;;;; Fr. 371'680.00 
14096;29.04.2013;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 953'000.00 
14097;29.04.2013;Russische Föderation;;;;2B201a1;;;;;; Fr. 873'300.00 
14098;30.04.2013;Russische Föderation;;;;;6A005a6b2;;;;; Fr. 452'991.00 
14099;30.04.2013;China;;;;2B201b1;;;;;; Fr. 600'000.00 
14100;30.04.2013;Russische Föderation;;;;2B201a1;;;;;; Fr. 254'500.00 
14101;30.04.2013;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 1'828.00 
14102;30.04.2013;Deutschland;;;;;;;;;1A3; Fr. 9'000.00 
14103;01.05.2013;Slowakei, Slowakische Republik;;;;;2B001a;;;;; Fr. 296'010.00 
14104;01.05.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 84'119.00 
14105;01.05.2013;Deutschland;;;;;;5a;;;; Fr. 3'765.00 
14106;01.05.2013;Mazedonien, die ehemalige jugoslawische Republik;;;;2B001a;2B001a;;;;; Fr. 63'600.00 
14108;01.05.2013;Philippinen;;;;2B201b1;;;;;; Fr. 620'000.00 
14040;02.05.2013;China;;;;2B201b1;2B001c1;;;;; Fr. 332'760.00 
14109;02.05.2013;Indien;;;;;6A005a6b2;;;;; Fr. 470'700.00 
14110;02.05.2013;Brasilien;;;;;6A005a6b2;;;;; Fr. 518'445.00 
14111;02.05.2013;Russische Föderation;;;;;;;5.1;;; Fr. 18'200.00 
14114;02.05.2013;Russische Föderation;;;;2B201b1;2B001c1;;;;; Fr. 447'636.00 
14115;02.05.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 250'000.00 
14116;03.05.2013;Kolumbien;;;;;5A001f;;;;; Fr. 767'000.00 
14117;03.05.2013;Tunesien;;;;;;;;5.2;; Fr. 175'000.00 
14118;03.05.2013;Marokko;;;;;;;;5.2;; Fr. 307'000.00 
14119;03.05.2013;Brasilien;;;;;6A005a6b2;;;;; Fr. 202'447.00 
14120;03.05.2013;Brasilien;;;;;6A005a6b2;;;;; Fr. 313'545.00 
14121;06.05.2013;China;;;;2B201a1;2B001b2;;;;; Fr. 2'385'304.00 
14122;06.05.2013;China;;7A105;;;;;;;; Fr. 388'800.00 
14123;06.05.2013;Saudi-Arabien;;;;2B201b;2B001c;;;;; Fr. 807'620.00 
14124;06.05.2013;Slowakei, Slowakische Republik;;;;;6A005a6b2;;;;; Fr. 469'318.00 
14125;06.05.2013;Serbien;;;;;;;;5.2;; Fr. 93'000.00 
14126;07.05.2013;China;;;;;6A005a6b2;;;;; Fr. 1'064'544.00 
14127;07.05.2013;China;;;;;6A005a6b2;;;;; Fr. 415'840.00 
14128;07.05.2013;Chile;;;;;6A005a6b2;;;;; Fr. 203'309.00 
14129;07.05.2013;Ungarn;;;;2B201b1;;;;;; Fr. 239'000.00 
14130;07.05.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 432'330.00 
14088;08.05.2013;China;;;;;;;;5.2;; Fr. 100'000.00 
14131;08.05.2013;Russische Föderation;;;;2B201a2;;;;;; Fr. 250'110.00 
14132;08.05.2013;Kroatien (Hrvatska);;;;;2B001a;;;;; Fr. 218'625.00 
14133;08.05.2013;Kroatien (Hrvatska);;;;;2B001a;;;;; Fr. 218'625.00 
14134;08.05.2013;Vereinigte Staaten;;;;;;;5.1;;; Fr. 100.00 
14135;08.05.2013;Indonesien;;;;;5A001f;;;;; Fr. 1'500.00 
14136;08.05.2013;Algerien;;;;;5A002a1a;;;;; Fr. 1'135'000.00 
14137;08.05.2013;Indien;;;;;5A002a1a;;;;; Fr. 11'731.00 
14138;08.05.2013;Kuwait;;;;;5A002a1a;;;;; Fr. 225'000.00 
14139;08.05.2013;Malaysia;;;;;2B001a;;;;; Fr. 550'000.00 
14141;08.05.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 135'460.00 
14142;08.05.2013;Mexiko;2B352d;;;;;;;;; Fr. 36'264.00 
14143;10.05.2013;Uruguay;;;;;;;5.1;;; Fr. 2'975.00 
14144;10.05.2013;China;2B352b;;;;;;;;; Fr. 1'091'500.00 
14145;10.05.2013;Indonesien;2B352b;;;;;;;;; Fr. 630'000.00 
14146;10.05.2013;Indien;2B352b;;;;;;;;; Fr. 1'320'000.00 
14148;13.05.2013;Taiwan, Provinz von China;;;;2B201a1;;;;;; Fr. 340'477.00 
14149;13.05.2013;Deutschland;2B350a3;;;;;;;;; Fr. 8'400.00 
14150;14.05.2013;Deutschland;;;;;;;5.1;;; Fr. 5'647.00 
14152;14.05.2013;China;;;;;;;5.1;;; Fr. 8'635.00 
14153;14.05.2013;Thailand;;;;2B201b1;2B001c2;;;;; Fr. 575'000.00 
14151;15.05.2013;Südafrika;;;;;;1a;;;; Fr. 10'000.00 
14154;15.05.2013;Russische Föderation;;;;2B201b1;2B001c1;;;;; Fr. 1'350'000.00 
14155;15.05.2013;Kuwait;;;;;;4c;;;; Fr. 27'850.00 
14156;15.05.2013;Saudi-Arabien;;;;2B201b1;;;;;; Fr. 430'000.00 
14157;15.05.2013;China;;;;2B201a1;2B001b2;;;;; Fr. 459'809.00 
14158;15.05.2013;Russische Föderation;;;;2B201b1;;;;;; Fr. 460'400.00 
14159;15.05.2013;Singapur;;;;2B001a1;2B001b2;;;;; Fr. 285'433.00 
14160;15.05.2013;China;;;;2B001.b2;;;;;; Fr. 263'054.00 
14162;15.05.2013;Israel;;;;;3A001a10c;;;;; Fr. 5'207.00 
14163;16.05.2013;China;;;;2B201a1;2B001b2;;;;; Fr. 453'121.00 
14164;16.05.2013;Indien;;;;;;;5.1;;; Fr. 1'102.00 
14165;16.05.2013;Indien;;;;;;;5.1;;; Fr. 1'102.00 
14166;16.05.2013;Indien;;;;;;;5.1;;; Fr. 1'102.00 
14167;16.05.2013;Vereinigte Arabische Emirate;;;;;;;5.1;;; Fr. 400.00 
14168;16.05.2013;Mexiko;;;;;2B001.a;;;;; Fr. 203'778.00 
14169;16.05.2013;Indien;2B350d5;;;;;;;;; Fr. 36'900.00 
14161;17.05.2013;Ägypten;;;;2B001a;2B001a;;;;; Fr. 2'880.00 
14161;17.05.2013;Ägypten;;;;2B201a;2B001b;;;;; Fr. 12'000.00 
14170;17.05.2013;Indonesien;;;;;6A005a6b2;;;;; Fr. 470'640.00 
14171;17.05.2013;Deutschland;;;;1C228;;;;;; Fr. 15'900.00 
14172;17.05.2013;Algerien;;;;;;;;5.2;; Fr. 625'000.00 
14173;17.05.2013;Katar;;;;;3A001g2;;;;; Fr. 53'704.00 
14174;17.05.2013;Israel;;;;;;;5.1;;; Fr. 258.00 
14175;17.05.2013;Taiwan, Provinz von China;;;;2B201b1;;;;;; Fr. 700'000.00 
14176;17.05.2013;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 295'200.00 
14177;21.05.2013;Frankreich;;;;2B201a1;2B001b2;;;;; Fr. 920'000.00 
14178;21.05.2013;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 799'100.00 
14179;21.05.2013;Kuwait;;;;;;;5.1;;; Fr. 6'987.00 
14180;22.05.2013;Jordanien;2B350i1;;;;;;;;; Fr. 68'474.00 
14181;22.05.2013;China;;;;;6A005a6b2;;;;; Fr. 315'000.00 
14182;22.05.2013;Vereinigte Staaten;2B352c;;;;;;;;; Fr. 18'000.00 
14184;22.05.2013;Tunesien;;;;;2B001a;;;;; Fr. 305'000.00 
14185;22.05.2013;Slowakei, Slowakische Republik;;;;;6A002c1;;;;; Fr. 190'620.00 
14185;22.05.2013;Slowakei, Slowakische Republik;;;;;6A002c1;;;;; Fr. 77'996.00 
14186;22.05.2013;China;;;;2B201b1;;;;;; Fr. 535'000.00 
14193;23.05.2013;Israel;;;;;2B001a;;;;; Fr. 136'077.00 
14194;23.05.2013;China;;;;2B201b1;;;;;; Fr. 432'000.00 
14195;23.05.2013;China;;7A103a;;;;;;;; Fr. 151'596.00 
14197;24.05.2013;Russische Föderation;;;;2B201a1;;;;;; Fr. 2'294'302.00 
14198;24.05.2013;Aserbaidschan;;;;;6A002c1;;;;; Fr. 87'200.00 
14198;24.05.2013;Aserbaidschan;;;;;6A002c1;;;;; Fr. 97'800.00 
14199;24.05.2013;Brasilien;;;;;6A005a6b2;;;;; Fr. 2'433'121.00 
14200;24.05.2013;Ägypten;;;;;3A001g2;;;;; Fr. 63'840.00 
14201;24.05.2013;China;;;;3A228c;;;;;; Fr. 131'040.00 
14202;24.05.2013;China;;;;3A228c;;;;;; Fr. 13'104.00 
14204;27.05.2013;Serbien;;;;;5A002a1a;;;;; Fr. 10'147.00 
14205;27.05.2013;China;2B350d5;;;;;;;;; Fr. 335'070.00 
14206;27.05.2013;Brasilien;;;;;;1a;;;; Fr. 31'385.00 
14207;28.05.2013;Tansania, Vereinigte Republik;;;;;5A002a1a;;;;; Fr. 9'600.00 
14209;28.05.2013;Tschechische Republik;;;;;5A001i;;;;; Fr. 2'500.00 
14210;28.05.2013;Thailand;;;;;3A001a10c;;;;; Fr. 95'219.00 
14211;28.05.2013;Israel;;;;;3A001a10c;;;;; Fr. 20'918.00 
14212;28.05.2013;Israel;;;;;3A001a10c;;;;; Fr. 7'902.00 
14213;28.05.2013;China;;;;2B201a1;2B001b2;;;;; Fr. 4'854'662.00 
14214;28.05.2013;Japan;;;;;;22;;;; Fr. 1.00 
14215;28.05.2013;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 3'341.00 
14216;29.05.2013;Hong Kong;;;;;2B001a;;;;; Fr. 584'376.00 
14217;29.05.2013;Brasilien;2B352b;;;;;;;;; Fr. 310'000.00 
14218;29.05.2013;China;;;;2B201a1;;;;;; Fr. 188'249.00 
14219;29.05.2013;Malaysia;;;;;2B001a;;;;; Fr. 617'000.00 
14221;30.05.2013;China;;;;2B201a1;2B001b2;;;;; Fr. 420'453.00 
14222;30.05.2013;Korea, Republik;;2B120;;;7B003;;;;; Fr. 500'000.00 
14223;30.05.2013;Ukraine;2B350d3;;;;;;;;; Fr. 76'080.00 
14224;30.05.2013;Bolivien;;7A103a;;;;;;;; Fr. 151'596.00 
14208;31.05.2013;Costa Rica;;;;;;;5.1;;; Fr. 15'600.00 
14226;31.05.2013;Großbritannien (Vereinigtes Königreich);;;;;;10;;;; Fr. 2'975.00 
14227;03.06.2013;Vereinigte Staaten;;2B120;;;7B003;;;;; Fr. 300'000.00 
14228;03.06.2013;Indien;;;;;;;5.1;;; Fr. 1'102.00 
14229;03.06.2013;Indien;;;;;;;5.1;;; Fr. 1'102.00 
14230;03.06.2013;Kroatien (Hrvatska);;;;;2B001a;;;;; Fr. 1'087'825.00 
14230;03.06.2013;Kroatien (Hrvatska);;;;2B001a;2B001a;;;;; Fr. 1.00 
14231;03.06.2013;Saudi-Arabien;2B350g3;;;;;;;;; Fr. 8'250.00 
14232;03.06.2013;Slowakei, Slowakische Republik;;7A103a;;;;;;;; Fr. 151'596.00 
14233;03.06.2013;Mexiko;;;;;;15d;;;; Fr. 57'200.00 
14233;03.06.2013;Mexiko;;;;;6A002a3f;;;;; Fr. 7'300.00 
14234;03.06.2013;Serbien;;;;;;5b;;;; Fr. 40'000.00 
14234;03.06.2013;Serbien;;;;;6A002c1;;;;; Fr. 25'000.00 
14235;03.06.2013;Peru;;7A103a;;;;;;;; Fr. 151'596.00 
14220;04.06.2013;China;;;;2B201a1;2B001b2;;;;; Fr. 234'175.00 
14236;04.06.2013;Israel;;;;;2B001a;;;;; Fr. 278'176.00 
14237;05.06.2013;Ägypten;2B350g2;;;;;;;;; Fr. 5'869.00 
14238;05.06.2013;Vereinigte Arabische Emirate;;;;;6A005a6b2;;;;; Fr. 314'960.00 
14239;05.06.2013;China;;;;;3B001e;;;;; Fr. 6'800'000.00 
14240;05.06.2013;Indien;;;;2D202;2D002;;;;; Fr. 8'701.00 
14241;05.06.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 340'031.00 
14243;05.06.2013;Russische Föderation;;;;2B201a1;;;;;; Fr. 233'110.00 
14244;05.06.2013;Russische Föderation;;;;;2B001a;;;;; Fr. 659'699.00 
14245;05.06.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 114'682.00 
14246;05.06.2013;Vereinigte Arabische Emirate;;;;;3A001g2;;;;; Fr. 106'043.00 
14247;05.06.2013;Taiwan, Provinz von China;;;;;2D002;;;;; Fr. 8'357.00 
14248;06.06.2013;China;;;;2B001a;2B001a;;;;; Fr. 280'281.00 
14249;06.06.2013;Vereinigte Arabische Emirate;;;;;;;5.1;;; Fr. 1'700.00 
14250;06.06.2013;China;;;;2B201b;2B001c1;;;;; Fr. 323'629.00 
14251;06.06.2013;Singapur;;;;1C231;;;;;; Fr. 4'200.00 
14252;06.06.2013;Bulgarien;2B350i4;;;;;;;;; Fr. 307'625.00 
14253;06.06.2013;Kroatien (Hrvatska);;;;;2B001a;;;;; Fr. 659'430.00 
14254;06.06.2013;Mexiko;2B352d;;;;;;;;; Fr. 4'459.00 
14255;07.06.2013;China;;;;;;1a;;;; Fr. 26'824.00 
14256;07.06.2013;Indien;;;;;;;5.1;;; Fr. 4'408.00 
14257;07.06.2013;China;;;;;3A001a5a5;;;;; Fr. 20'051.00 
14258;07.06.2013;Deutschland;;;;2B231;;;;;; Fr. 49'213.00 
14259;07.06.2013;Tschechische Republik;;;;2B001a;2B001a;;;;; Fr. 270'600.00 
14260;07.06.2013;Kolumbien;;;;;6A002a3f;;;;; Fr. 7'300.00 
14260;07.06.2013;Kolumbien;;;;;6A002c1;;;;; Fr. 10'600.00 
14261;07.06.2013;China;;2B120;;;7B003a;;;;; Fr. 392'900.00 
14262;10.06.2013;China;;;;;6A005a6b2;;;;; Fr. 208'926.00 
14263;10.06.2013;Russische Föderation;;;;2B201a;2B001b;;;;; Fr. 261'900.00 
14264;10.06.2013;Deutschland;2B350i4;;;;;;;;; Fr. 2'018.00 
14265;11.06.2013;China;;7A101a;;;;;;;; Fr. 8'400.00 
14266;11.06.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 91'640.00 
14268;11.06.2013;Mongolei;;;;;5A002a1a;;;;; Fr. 22'000.00 
14269;11.06.2013;China;;;;;2B001a;;;;; Fr. 333'000.00 
14271;12.06.2013;Indonesien;;;;;5A002a1a;;;;; Fr. 61'000.00 
14270;13.06.2013;Kasachstan;;;;2B201b;2B001c;;;;; Fr. 401'130.00 
14272;13.06.2013;Brasilien;;;;;6A005a6b2;;;;; Fr. 205'951.00 
14273;13.06.2013;Brasilien;;;;;6A002c1;;;;; Fr. 40'680.00 
14275;13.06.2013;Chile;2B350g2;;;;;;;;; Fr. 7'044.00 
14274;14.06.2013;Indonesien;2B350b3;;;;;;;;; Fr. 15'600.00 
14277;14.06.2013;Uruguay;;;;;5A002a1a;;;;; Fr. 50'540.00 
14278;14.06.2013;Brasilien;;;;;6A005a6b2;;;;; Fr. 756'191.00 
14279;14.06.2013;China;;;;;6A002c1;;;;; Fr. 78'080.00 
14279;14.06.2013;China;;;;;6A002c1;;;;; Fr. 45'280.00 
14281;14.06.2013;Vereinigte Staaten;;;;;;11;;;; Fr. 123.00 
14281;14.06.2013;Vereinigte Staaten;;;;;;21b4;;;; Fr. 123.00 
14282;14.06.2013;Russische Föderation;;;;2B201b1;;;;;; Fr. 1'139'325.00 
14287;14.06.2013;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 3'817.00 
14288;14.06.2013;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 3'829.00 
14267;17.06.2013;China;;;;2B201a1;2B001b2;;;;; Fr. 243'531.00 
14283;17.06.2013;Zentralafrikanische Republik;;;;;;;5.1;;; Fr. 535.00 
14284;17.06.2013;China;;7A103a;;;;;;;; Fr. 360'747.00 
14285;17.06.2013;Taiwan, Provinz von China;;;;2B201b;2B001a;;;;; Fr. 1'094'500.00 
14286;17.06.2013;China;;;;2B201b1;2B001c1;;;;; Fr. 398'719.00 
14289;17.06.2013;Taiwan, Provinz von China;;;;2B201b;;;;;; Fr. 345'000.00 
14290;17.06.2013;Taiwan, Provinz von China;;;;2B201b1;;;;;; Fr. 521'000.00 
14292;17.06.2013;Brasilien;;;;;;10f;;;; Fr. 149'900.00 
14293;18.06.2013;Israel;;;;2B201a1;2B001b2;;;;; Fr. 351'015.00 
14294;18.06.2013;Vereinigte Staaten;;;;;;11a;;;; Fr. 23'964.00 
14295;18.06.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 118'615.00 
14296;18.06.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 253'031.00 
14297;18.06.2013;Taiwan, Provinz von China;;;;2B201b;2B001c;;;;; Fr. 856'745.00 
14298;18.06.2013;Indien;2B350g2;;;;;;;;; Fr. 3'132.00 
14299;18.06.2013;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 4'211.00 
14300;18.06.2013;Pakistan;;;;;5A001i;;;;; Fr. 40'000.00 
14301;19.06.2013;China;;;;2B201b1;;;;;; Fr. 1'398'000.00 
14302;19.06.2013;Vereinigte Staaten;;;0B002g;;;;;;; Fr. 3'340.00 
14303;19.06.2013;China;;;;2B201b;2B001c;;;;; Fr. 820'000.00 
14304;19.06.2013;China;;;;2B201b1;;;;;; Fr. 370'510.00 
14305;19.06.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 1'407'044.00 
14306;19.06.2013;Äthiopien;;;;;5A001i;;;;; Fr. 1'300.00 
14307;19.06.2013;Taiwan, Provinz von China;;7A103a;;;;;;;; Fr. 58'835.00 
14308;19.06.2013;Israel;;;;1C231;;;;;; Fr. 5'775.00 
14280;20.06.2013;Chile;;;;;;;5.1;;; Fr. 20'052.00 
14309;20.06.2013;Vereinigte Staaten;;;;;;5d;;;; Fr. 3'018.00 
14309;20.06.2013;Vereinigte Staaten;;;;;;5d;;;; Fr. 16'761.00 
14310;20.06.2013;Russische Föderation;;;;;2B001a;;;;; Fr. 240'574.00 
14311;20.06.2013;Indien;;;;;;;5.1;;; Fr. 1'335.00 
14311;20.06.2013;Indien;;;;;;;5.1;;; Fr. 1'520.00 
14313;20.06.2013;Belarus;;;;2B001a;2B001a;;;;; Fr. 314'950.00 
14319;20.06.2013;China;;7A103a;;;;;;;; Fr. 151'596.00 
14320;20.06.2013;Taiwan, Provinz von China;;;;;;10c;;;; Fr. 20'160.00 
14321;21.06.2013;Indien;;;;;5B001a;;;;; Fr. 2'000'000.00 
14322;21.06.2013;Brasilien;;;;;2B001a;;;;; Fr. 280'240.00 
14323;21.06.2013;Singapur;;;;;5A002a1a;;;;; Fr. 26'835.00 
14324;21.06.2013;Taiwan, Provinz von China;;;;2B201b1;2B001c;;;;; Fr. 965'000.00 
14325;21.06.2013;Russische Föderation;;;;2B201b1;;;;;; Fr. 631'280.00 
14328;24.06.2013;Kasachstan;;;;;6A005a6b2;;;;; Fr. 541'815.00 
14329;24.06.2013;China;;;;;6A005a5b;;;;; Fr. 66'480.00 
14330;24.06.2013;China;2B352b;;;;;;;;; Fr. 140'513.00 
14331;24.06.2013;China;;;;2B201a1;;;;;; Fr. 251'854.00 
14332;24.06.2013;Slowenien;;;;;2B001a;;;;; Fr. 136'800.00 
14333;25.06.2013;China;;;;1C233;;;;;; Fr. 28'000.00 
14334;25.06.2013;China;;;;;6A002c1;;;;; Fr. 629'880.00 
14334;25.06.2013;China;;;;;6A002c1;;;;; Fr. 1'448'979.00 
14335;25.06.2013;Israel;;;;;;21b;;;; Fr. 20'432.00 
14336;25.06.2013;Großbritannien (Vereinigtes Königreich);;;;2B201a1;2B001b2;;;;; Fr. 140'204.00 
14337;25.06.2013;Großbritannien (Vereinigtes Königreich);;;;2B201a1;2B001b2;;;;; Fr. 140'204.00 
14327;26.06.2013;Israel;;;;;7A002a+b;;;;; Fr. 670'000.00 
14339;26.06.2013;Russische Föderation;;;;2B201a2;;;;;; Fr. 264'000.00 
14340;26.06.2013;Russische Föderation;;;;2B201a;;;;;; Fr. 90'000.00 
14341;26.06.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 138'724.00 
14342;26.06.2013;Vereinigte Arabische Emirate;;;;;;3a;;;; Fr. 3'960.00 
14342;26.06.2013;Vereinigte Arabische Emirate;;;;;;1a;;;; Fr. 10'500.00 
14344;26.06.2013;Frankreich;;;;;;;;5.2;; Fr. 520.00 
14345;26.06.2013;Brasilien;;;;2B201a;;;;;; Fr. 215'000.00 
14338;27.06.2013;Großbritannien (Vereinigtes Königreich);;;;1C210b;;;;;; Fr. 10'568.00 
14346;27.06.2013;Angola;2B350g2;;;;;;;;; Fr. 3'753.00 
14347;27.06.2013;Südafrika;;;;;6A002c1;;;;; Fr. 11'830.00 
14348;27.06.2013;Italien;;;;;;11a;;;; Fr. 122'470.00 
14349;27.06.2013;Indonesien;;;;;6A002c1;;;;; Fr. 144'354.00 
14350;27.06.2013;Angola;;;;;;10a;;;; Fr. 29'807.00 
14351;27.06.2013;Italien;;;;;;11;;;; Fr. 68.00 
14352;27.06.2013;China;;;;;9A012a2;;;;; Fr. 43'400.00 
14353;27.06.2013;Deutschland;;;;;;21b4;;;; Fr. 68.00 
14355;27.06.2013;China;;;;2B201a1;;;;;; Fr. 208'321.00 
14356;28.06.2013;Saudi-Arabien;;;;;;;;5.2;; Fr. 1'000'000.00 
14357;28.06.2013;Indien;;;;;;;5.1;;; Fr. 1'102.00 
14358;28.06.2013;Indien;;;;;;;5.1;;; Fr. 1'102.00 
14359;28.06.2013;Vietnam;;;;;;11a;;;; Fr. 1'406'946.00 
14360;28.06.2013;Mexiko;2B352d;;;;;;;;; Fr. 10'977.00 
14361;28.06.2013;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 6'223.00 
14362;28.06.2013;Indien;;;;2B201a;;;;;; Fr. 103'000.00 
14363;28.06.2013;Korea, Republik;;;;;6A005a6b2;;;;; Fr. 343'000.00 
14183;01.07.2013;Kuwait;;;;;5A002a1a;;;;; Fr. 241'500.00 
14364;01.07.2013;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 307'869.00 
14365;01.07.2013;Israel;;;;;5A002a1a;;;;; Fr. 19'200.00 
14366;01.07.2013;Russische Föderation;;;;2B201b1;2B001c1;;;;; Fr. 789'800.00 
14367;01.07.2013;Russische Föderation;;;;2B201a;2B001b2;;;;; Fr. 1'063'900.00 
14343;02.07.2013;Russische Föderation;;;;;6A003b4;;;;; Fr. 150'000.00 
14368;02.07.2013;Deutschland;;;0B002g;;;;;;; Fr. 36'490.00 
14370;02.07.2013;Großbritannien (Vereinigtes Königreich);;;;;;10;;;; Fr. 7'488.00 
14371;02.07.2013;Taiwan, Provinz von China;;;;;;21b4;;;; Fr. 69.00 
14372;02.07.2013;Russische Föderation;;;;2B201a;2B001b2;;;;; Fr. 696'580.00 
14375;03.07.2013;China;;;;;6A002a2a;;;;; Fr. 2'561.00 
14376;03.07.2013;Brasilien;;;;;6A005a6b2;;;;; Fr. 545'519.00 
14377;03.07.2013;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 140'266.00 
14378;03.07.2013;Thailand;;;;2B201b;2B001c;;;;; Fr. 514'390.00 
14379;03.07.2013;Russische Föderation;2B350d3;;;;;;;;; Fr. 126'680.00 
14380;03.07.2013;Südafrika;;;;;;4c;;;; Fr. 5'000.00 
14381;03.07.2013;Korea, Republik;;;;;6A005a6b2;;;;; Fr. 424'800.00 
14382;03.07.2013;Israel;;;;;2B001a;;;;; Fr. 297'644.00 
14190;04.07.2013;Algerien;;;;;5A001i;;;;; Fr. 4'879'406.00 
14225;04.07.2013;Bahrain;;;;;6A002c1;;;;; Fr. 159'830.00 
14383;04.07.2013;Pakistan;2B350g2;;;;;;;;; Fr. 1'845.00 
14384;04.07.2013;Russische Föderation;;;;;;1a;;;; Fr. 171'981.00 
14385;04.07.2013;Russische Föderation;;;;2B231;;;;;; Fr. 299'936.00 
14386;04.07.2013;Vereinigte Arabische Emirate;;;;;;01a;;;; Fr. 25'650.00 
14374;05.07.2013;Russische Föderation;;;;;;;5.1;;; Fr. 31'467.00 
14387;05.07.2013;Taiwan, Provinz von China;;;;;2D002;;;;; Fr. 8'088.00 
14388;05.07.2013;Uruguay;;;;;;;5.1;;; Fr. 6'790.00 
14389;05.07.2013;Argentinien;;;;;;;5.1;;; Fr. 3'050.00 
14390;05.07.2013;Vereinigte Staaten;;;;2B201a1;2B001b2;;;;; Fr. 720'774.00 
